"Date","Name","Issue","Stage","Convocation","Party","text"
2000-01-18,"Решульский Сергей Николаевич","Проект посттановления ""Об  образовании комитетов Государственной Думы""",NA,"III Convocation","KPRF","РЕШУЛЬСКИЙ С. Н. Уважаемые коллеги, я попрошу минуточку внимания. Давайте мы все-таки согласимся с предложением, которое внесла рабочая группа, оно подписано руководителями фракций. Мы с вами всегда, думается, имеем возможность при уточнении функциональных обязанностей того или другого комитета по необходимости внести в названия изменения. Если мы сейчас начнем корректировать название того или другого комитета, мы просто потратим очень много времени, не зная пока о том, какими еще вопросами займется тот или другой комитет. Я предлагаю не вносить никаких изменений и предлагаю проголосовать предложенный перечень комитетов и их названия."
2000-02-11,"Махачев Гаджи Нухиевич","О проекте постановления Государственной Думы ""Об избрании заместителя Председателя Государственной Думы Федерального Собрания Российской Федерации"" (о депутате В. П. Лукине).",NA,"III Convocation","PeopleDep","МАХАЧЕВ Г. Н., депутатская группа ""Народный депутат"". Уважаемые депутаты, я предлагаю включить в повестку дня вопрос с обсуждением положения учителей Омска, которые бастуют, там дети лишены возможности учиться. Это первое. Второе. Я хотел бы, чтобы мы здесь говорили не об орденах и о медалях, а о семьях погибших офицеров и солдат, о том, в каком они положении и как живут. Надо создать комиссию и поехать посмотреть. И третье. Я не хотел бы, чтобы мы здесь все время поднимали вопрос о Бабицком. Ничего там... Если у коллег болит душа о нем, надо заплатить деньги, пойти забрать его - и вся проблема. Почему мы не говорим о Шпигуне, почему не говорим о сотнях, которые находятся там в заложниках? Спасибо за внимание. И еще одно, пожалуйста. Вот тут коллеги поднимали вопрос о численности замов в парламенте. Я хотел бы, когда будут учитывать вопрос о численности, чтобы учитывали национальный признак... (Микрофон отключен.)"
2000-02-11,"Слиска Любовь Константиновна","О проекте календаря рассмотрения вопросов Государственной Думой с 11 по 25 февраля 2000 года.",NA,"III Convocation","UR","СЛИСКА Л. К., Первый заместитель Председателя Государственной Думы. Уважаемые коллеги, в соответствии со статьей 50 Регламента вносится на утверждение проект примерной программы законопроектной работы Государственной Думы на период весенней сессии и проект календаря на февраль 2000 года, сформированные комитетами Государственной Думы. В ходе подготовки этих документов проведена большая подготовительная работа с участием представителей Администрации Президента, Совета Федерации и Правительства Российской Федерации. Единственное, она осложнялась тем, что в условиях создания новой функциональной структуры Государственной Думы нужно было сориентироваться в очень большом массиве и объеме законопроектов, которые имеются в Государственной Думе. Проведены необходимые согласования проектов на совещании председателей комитетов, которое прошло 7 февраля, с участием представителей депутатских объединений. Дважды эти проекты представлялись на рассмотрение Совета Государственной Думы для выработки общего подхода. Итак, комитеты Госдумы планируют вынести на рассмотрение палаты 513 законопроектов, из них 78 подлежат первоочередному рассмотрению. Большая часть законодательных инициатив - Правительства, 136, они включены в программу. Среди законопроектов, подлежащих первоочередному рассмотрению, 33 - принято Государственной Думой второго созыва в первом чтении, 45 - рассмотрено Советом Государственной Думы. Кроме того, 51 федеральный закон, ранее отклоненный Президентом или Советом Федерации, также подлежит рассмотрению в первую очередь. Самая объемная программа у Комитета по труду, социальной политике и делам ветеранов - 88 законопроектов. Среди них Трудовой кодекс, законопроекты ""О порядке установления размеров социальных выплат и иных платежей в Российской Федерации"", ""Об основах пенсионной системы в Российской Федерации"". Комитет по бюджету и налогам включил 49 законопроектов, часть вторую Налогового кодекса, новую редакцию Таможенного кодекса. Комитет по безопасности - 32 законопроекта. Среди них ""О противодействии легализации (отмыванию) доходов, полученных незаконным путем"", ""О Пограничной службе Российской Федерации"" и другие. Большая работа предстоит Комитету по законодательству по подготовке ко второму чтению проекта Уголовно-процессуального кодекса, Комитету по государственному строительству - проекта Кодекса об административных правонарушениях, а также поправок к статье 101 Конституции Российской Федерации. Большой блок законопроектов о соглашениях о разделе продукции потребует особого внимания нескольких комитетов Государственной Думы. Предстоит заниматься и отклоненным ранее Президентом Российской Федерации Земельным кодексом, который находится в стадии специальных согласительных процедур. Можно констатировать, что каждый из комитетов серьезно подошел к формированию своих планов и загружен законопроектной работой. Программа - необходимый технологический элемент нашей работы, без нее мы не сможем продвигаться вперед. Однако это не догма, это открытый документ. Вы обратили внимание, что пункт 5 проекта постановления предусматривает обязанность Совета рассматривать предложения комитетов по дополнению или уточнению программы и при этом устанавливать конкретные сроки рассмотрения. Вам розданы предложения фракции ""Союз Правых Сил"", которые должны быть рассмотрены ответственными комитетами и в соответствии с Регламентом вынесены на Совет Госдумы для включения в программу. Несколько слов о календаре рассмотрения вопросов с 11 по 25 февраля. Несмотря на трудности организационного порядка в новой Думе, комитеты готовы насытить повестку дня ближайших заседаний, в том числе и приоритетными законами. Всего у нас на февраль предусмотрено 36 законопроектов, из них 13 первоочередных: ""О землеустройстве"" - 18 февраля, ""О Государственной программе приватизации государственного имущества и основах приватизации муниципального имущества в Российской Федерации"", ""О финансовом оздоровлении организаций"" и другие, они у нас представляются по календарю на 23 февраля. Прошу вас поддержать предложения комитетов, Совета Государственной Думы и утвердить проект программы, проект календаря и принять постановления Государственной Думы."
2000-02-11,"Слиска Любовь Константиновна","О проекте примерной программы законопроектной работы Государственной Думы Федерального Собрания Российской Федерации в период весенней сессии 2000 года.",NA,"III Convocation","UR","СЛИСКА Л. К. Спасибо. Юрий Дмитриевич, тогда вы себе на заметочку возьмете пожелание Николая Ивановича Рыжкова? Спасибо."
2000-02-16,"Герасименко Николай Федорович","О проекте постановления Государственной Думы ""О ситуации, сложившейся на федеральном государственном унитарном предприятии ""Мосхимфармпрепараты"" имени Н. А. Семашко"".",NA,"III Convocation","PeopleDep","ГЕРАСИМЕНКО Н. Ф. Нет."
2000-02-23,"Кулик Геннадий Васильевич","О проекте федерального закона ""О финансовом оздоровлении организаций"".","Рассмотрение законопроекта в первом чтении","III Convocation","UR","КУЛИК Г. В. Уважаемые коллеги, если и можно что принять из этого закона, то, пожалуй, название. Действительно, проблема финансового оздоровления предприятий является очень острой, но закон направлен совсем на другое. Вдумайтесь: хотят Думой прикрыть то, что мы уже видели на деле, когда небольшая фирма, которой задолжали 500 тысяч рублей, в декабре 1998 года пыталась обанкротить Назарьевский угольный разрез, цена которому 2,5 миллиарда долларов! Точно все здесь прописано, от начала и до конца. Поэтому думаю, что у депутатов будет достаточно мужества, чтобы отвергнуть этот закон, который не соответствует самой идее финансового оздоровления. Здесь нет ни слова о том, как мы будем поступать с огромными долгами, которые образовались у предприятий, кстати, и по вине государства, которое не выполняло свои бюджетные назначения и, скажем, поставило в такое тяжелое положение многие предприятия обороны, других отраслей народного хозяйства. Если говорить применительно к агропромышленному комплексу, то 87 процентов предприятий могут быть через три месяца поставлены под эту унизительную процедуру, которая в итоге приведет к развалу этой отрасли. Поэтому я однозначно высказываю свое предложение: этот закон отклонить, предложить Правительству подготовить действительно серьезный закон, который был бы направлен на поддержку отечественного производителя, его финансовое оздоровление с использованием всех видов механизма действия, в том числе и внести предложение, как поступить с теми огромными долгами, процентами на долг, которые накопились и являются сегодня гирей на ногах этих предприятий. Я просил бы поддержать это решение."
2000-02-25,"Южаков Владимир Николаевич","О проекте порядка работы Государственной Думы на 25 февраля 2000 года.",NA,"III Convocation","SPS","ЮЖАКОВ В. Н. ...большая просьба дать протокольное поручение Комитету по информационной политике рассмотреть возможность включения в состав учредителей всех этих средств массовой информации представителей всех фракций и депутатских групп, с тем чтобы были представлены все позиции."
2000-03-31,"Ткачев Александр Николаевич","Об итогах поездки 6-7 марта 2000 года межфракционной группы депутатов Государственной Думы в Чеченскую Республику для ознакомления с социально-экономической обстановкой, сложившейся в республике в ходе проведения антитеррористической операции на Северном Кавказе.",NA,"III Convocation","UR","ТКАЧЕВ А. Н. А зачем? Поправка одна, она известна."
2000-04-05,"Ермакова Эльвира Леонидовна","О Федеральном законе ""О внесении изменения и дополнения в статью 112 Закона Российской Федерации ""О государственных пенсиях в Российской Федерации"" (о начислении к пенсиям районных коэффициентов, установленных к заработной плате в производственных отраслях; в связи с отклонением Советом Федерации).","Рассмотрение закона, отклоненного СФ","III Convocation","UR","ЕРМАКОВА Э. Л., фракция ""Единство"". Уважаемые депутаты, я очень внимательно подошла к проработке данной поправки, которую сегодня предлагается внести в закон. Нужно учесть одно - перед выходом на пенсию человек уезжает с Севера, это как правило. Представьте себе, как можно проконтролировать производственный коэффициент в той же Белгородской области, в Краснодарском крае. Если мы сегодня примем эту поправку, это, во-первых, приведет к злоупотреблениям, во-вторых, к задержке по назначению пенсий, потому что отделения вынуждены будут делать дополнительные запросы, и мы этой поправкой подтолкнем все предприятия Севера к тому, чтобы сделать наивысший коэффициент, принять наивысший коэффициент... (Микрофон отключен.)"
2000-04-07,"Исаев Андрей Константинович","О проекте федерального закона ""О тарифной ставке (окладе) первого разряда Единой тарифной сетки по оплате труда работников организаций бюджетной сферы"" (о повышении тарифной ставки первого разряда работникам организаций бюджетной сферы; принят в первом чтении 30 ноября 1999 года с названием ""О внесении изменений в Федеральный закон ""Об упорядочении оплаты труда работников организаций бюджетной сферы"").","Рассмотрение законопроекта во втором чтении","III Convocation","UR","ИСАЕВ А. К., фракция ""Отечество - Вся Россия"". Владимир Ростиславович, правильна ли наша информация о том, что прогнозируемый прожиточный минимум на 2000 год составит 1170 рублей и что в этом случае повышение заработной платы, которое предлагает Правительство, приведет к тому, что восемнадцатый разряд окажется равен 1086 рублям, то есть будет ниже прожиточного минимума?"
2000-04-13,"Яркин Лев Николаевич","О проекте федерального закона ""О внесении изменения и дополнения в статью 2 Кодекса законов о труде Российской Федерации"" (о признании незаконным на территории Российской Федерации принудительного труда).","Рассмотрение законопроекта в первом чтении","III Convocation","UR","ЯРКИН Л. Н. Те же основания: эта поправка не входит в сферу действия трудового законодательства, и вопросы, поднятые в этой поправке, - вопросы запрещения принудительного труда, содействия принудительному труду в действующем законодательстве также уже урегулировано. Отрицательные заключения Президента Российской Федерации, Правительства и Комитета по труду и социальной политике: отклонить его при рассмотрении в первом чтении."
2000-04-19,"Никитин Валентин Иванович","Проект постановления о создании комиссии по Чечне",NA,"III Convocation","Agro","НИКИТИН В. И. Уважаемые коллеги, такое решение уже состоялось - комиссия такая создана, туда вошли представители всех фракций. Более того, уже состоялось первое заседание этой комиссии (как раз то, о чем говорит Владимир Николаевич) - о правах человека и так далее, создана специальная подкомиссия. Нет необходимости сегодня затягивать этот вопрос."
2000-04-21,"Билалов Ахмед Гаджиевич","О состоянии атомной и радиационной безопасности и необходимых мерах безопасности на АЭС.",NA,"III Convocation","UR","БИЛАЛОВ А. Г., фракция ""Единство"". Уважаемый Юрий Георгиевич, у меня такой вопрос. В связи с тем, что ОАО ""Газпром"" существенно сократило объем поставляемого газа для РАО ""ЕЭС России"", может сильно увеличиться, насколько я понимаю, нагрузка на атомные станции. Какие дополнительные меры безопасности вы в связи с этим предусматриваете в работе станций?"
2000-04-28,"Юшенков Сергей Николаевич","О проекте порядка работы Государственной Думы на 28 апреля 2000 года.",NA,"III Convocation","SPS","ЮШЕНКОВ С. Н. Да. Мы благодарны Комитету по Регламенту и организации работы Государственной Думы за то, что он предлагает принять часть наших поправок. Но мы считаем, что рассмотрение этих поправок должно проходить в более широком контексте. Поскольку готовится такое общее рассмотрение поправок к Регламенту, мы хотели бы, чтобы именно тогда они были рассмотрены."
2000-05-24,"Кулик Геннадий Васильевич","О проекте федерального закона ""О внесении изменений и дополнений в статью 7 Закона Российской Федерации ""О государственных пенсиях в Российской Федерации"" и Федеральный закон ""О порядке исчисления и увеличения государственных пенсий"" (уточнение отдельных положений порядка расчета пенсий с применением индивидуального коэффициента пенсионера).","Рассмотрение законопроекта в первом чтении","III Convocation","UR","КУЛИК Г. В., фракция ""Отечество - Вся Россия"". Уважаемые коллеги, я обращаюсь к вам просто с тем, чтобы мы смогли решить действительно очень важный вопрос. Вчера на заседании бюджетного комитета с фондом достигнуто соглашение в том, что мы имеем реальные возможности пересмотреть его бюджет в сторону увеличения. И когда мы согласуем цифру увеличения, мы, естественно, сразу же с вами определим, на сколько, в каких размерах мы проиндексируем пенсии. И почти уже есть согласие, что с 1 ноября мы сможем выйти на коэффициент 0,95. Надо поработать и найти эти источники. Согласие на это получено. Я бы просто не торопился, а пустил вперед как раз вопрос о бюджете Пенсионного фонда, и одновременно, буквально в этот же момент, когда будете рассматривать и утверждать бюджет, утвердить и сроки индексации пенсий в пределах тех сумм, которые мы сможем найти. Суммы там вырисовываются довольно значительные. Есть, еще раз повторяю, согласие на то, чтобы с 1 ноября ввести коэффициент 0,95. Давайте проявим разумность, и мы решим эту проблему в пользу наших избирателей."
2000-05-24,"Никифоренко Юрий Васильевич","О проекте федерального закона ""Об участках недр, право пользования которыми может быть предоставлено на условиях раздела продукции (Нежданинское золоторудное месторождение)"".","Рассмотрение законопроекта в первом чтении","III Convocation","KPRF","НИКИФОРЕНКО Ю. В. А почему вы распоряжаетесь им?"
2000-05-24,"Пашуто Владимир Ростиславович","Проект федерального закона ""О внесении изменения в Федеральный закон ""О тарифах страховых взносов в Пенсионный фонд Российской Федерации, Фонд социального страхования Российской Федерации, Государственный фонд занятости населения Российской Федерации и в фонды обязательного медицинского страхования на 1999 год"" (в части уменьшения тарифов страховых взносов в Пенсионный фонд для адвокатов).","Рассмотрение законопроекта в первом чтении","III Convocation","Agro","ПАШУТО В. Р. Уважаемые коллеги, я хотел бы обратить ваше внимание на то, что многими депутатами высказывались суждения, что не решены законодательно все вопросы по работе адвокатов. Этот вопрос очень серьезный, пробелы существуют. Вот и сегодня мы рассматриваем решение Конституционного Суда не только и не столько, может быть, даже о тарифе, хоть там и идет разговор об этом. Я хотел бы сказать, что буквально в настоящее время рассматриваются поправки в Налоговый кодекс, и там и эти вопросы тоже будут учтены в той или иной степени. И поэтому я попросил бы сейчас не углубляться в дебри, а проголосовать за этот законопроект, принять решение и продолжить работу в дальнейшем."
2000-05-31,"Булавинов Вадим Евгеньевич","О проекте федерального закона ""О порядке формирования Совета Федерации Федерального Собрания Российской Федерации"".","Рассмотрение законопроекта в первом чтении","III Convocation","PeopleDep","БУЛАВИНОВ В. Е., депутатская группа ""Народный депутат"". Уважаемые коллеги, сейчас, я думаю, долго убеждать друг друга уже не стоит, прозвучало много вопросов, много выступлений, но хотелось бы уделить внимание только одному моменту. Принципиальным моментом, что касается сегодняшнего голосования, является концепция: поддерживаем ли мы принцип разделения властей, мы за то, чтобы судебная власть была независима от исполнительной и законодательной, мы за то, чтобы законодательная власть все-таки была отдельно от исполнительной? Если это так, то, конечно же, этот законопроект надо поддержать. Наша депутатская группа приняла решение: консолидированно голосовать за этот законопроект, но тем не менее хотелось бы отметить, что это только, на наш взгляд, первый шаг. На сегодняшний день кардинально эту проблему мы, к сожалению, решить не можем, потому что до сих пор сохраняется практика, когда главы районных исполнительных администраций назначают судей, когда губернаторы дают согласие на назначение прокуроров и начальников УВД - тех, кто по данному законопроекту должен возбуждать в случае нарушения закона уголовные дела или проводить следственные действия. Но самое главное, все-таки хотелось бы определить: действительно ли мы на деле готовы поддержать принцип разделения властей, действительно ли мы готовы обеспечить функционирование в государстве слаженного механизма работы этих ветвей власти? Не случайно многие отмечали: действительно непонятно, когда подчиненные по исполнительной вертикали вызывают, так сказать, на ковер своих вышестоящих начальников в Совете Федерации. И мы все понимаем, что это неправильно. Но в то же время хотелось бы заметить, что помимо тех вопросов, что прозвучали, есть еще один спорный момент: а будет ли обладать кто-то из конкретных губернаторов или областное законодательное собрание правом снятия третьего по статусу человека в нашей стране? Если это представитель губернатора, то что, Председателя Совета Федерации можно снять? Но эти все вопросы - вопросы второго чтения. Сейчас я все-таки хотел бы обратиться и в том числе к представителю Президента с предложением не только сделать этот шаг, но и рассмотреть целесообразность последующих шагов - по приданию независимости судебной системе, по приданию независимости системе УВД, другим правоохранительным органам. Только тогда мы действительно сможем навести порядок в сфере отправления функций власти в нашей стране, и только тогда действительно можно будет спокойно выращивать хлеб и хватит горючего, ГСМ. А наша депутатская группа поддерживает этот законопроект."
