"","Code","Party","filtered_text","label","Labels"
"1",138953,"UR","Уважаемые коллеги, скажу одной фразой: в связи с тем что Правительством Российской Федерации нарушены регламентные сроки представления ответов, просим поручить Комитету по контролю и Регламенту установить причину нарушения этих сроков, а также виновных в этом.","critical","критикует правительство России"
"2",104638,"UR","Ответственность - это вопросы, вопросы в адрес правительства, в адрес Министерства финансов, в адрес других министерств: почему закон о бюджете не исполняется, почему до настоящего времени не исполнены очень многие показатели бюджета, не расходуются средства, которые мы выделяем регионам, выделяем отдельным министерствам?","critical","критикует правительство России"
"3",101704,"UR","Я обращаюсь к представителю правительства с просьбой взять этот вопрос на контроль - так нельзя работать!","critical","критикует правительство России"
"4",142529,"UR","Кроме того, мы критиковали правительство за то, что опять продлевается мораторий на направление страховых взносов на финансирование накопительных пенсий, за то, что отсутствует индексация пенсий работающих пенсионеров, за то, что на протяжении нескольких лет, с 2017 года, не пересматриваются нормы компенсации гражданам расходов на переезд из районов Крайнего Севера и приравненных к ним местностей. Конечно, очень много претензий - и сегодня это многократно прозвучало, - к санаторно-курортному обслуживанию.","critical","критикует правительство России"
"5",36455,"UR","Но коли уж вы так хотите, о виновных тоже поговорим. У нас нет сомнений в том, что правительство не обеспечило должной подготовки к запуску реформы и провалило первый ее этап. Слова министров о том, что в России никто и никогда не проводил преобразований такого масштаба, лишь убеждают нас в нашей оценке: значит, недооценили масштаб, значит, не просчитали все варианты развития событий, значит, не смогли убедить регионы в правильном алгоритме действий.","critical","критикует правительство России"
"6",77795,"SR","Увы, нельзя не видеть сегодня того, что жизнь в России для простых граждан всё больше превращается в бесконечную череду стрессов и чрезвычайных ситуаций. Может, и правительство пора уже нам переименовать в правительство чрезвычайных ситуаций, упразднив неэффективные министерства и направив освободившиеся миллиарды рублей в энергетику, транспорт и на ликвидацию последствий аварий?","critical","критикует правительство России"
"7",37743,"SR","Дело в том, что правительство систематически не выполняет свои обязанности и не представляет заключений на проекты законов.","critical","критикует правительство России"
"8",83842,"SR","Правительство представляет бюджет, где недоучитываются и неправильно рассчитываются доходы.","critical","критикует правительство России"
"9",88069,"SR","То есть ситуация катастрофическая, привлекаю ваше внимание к этой проблеме: обязательства есть - денег нет. Вина федерального правительства в чистом виде, потому что неправильное распределение доходов по уровням власти: есть обязательства - нет денег. Надо эту проблему решать.","critical","критикует правительство России"
"10",64250,"SR","Десяти тучных лет сверхдоходов не хватило правительству, чтобы справиться с таким постыдным явлением, как детская безнадзорность.","critical","критикует правительство России"
"11",103757,"LDPR","Во-первых, уже четыре поручения Президента Российской Федерации по программе реабилитации и ресоциализации наркоманов до сих пор не выполнены Правительством Российской Федерации.","critical","критикует правительство России"
"12",65108,"LDPR","Правительство не предпринимает необходимых действий по поддержке российского сельхозпроизводителя: мы продолжаем закупать в огромных объёмах молочные, мясные и другие продукты в Украине, руководство которой ведёт открытую антироссийскую политику, в Белоруссии.","critical","критикует правительство России"
"13",51497,"LDPR","Мне кажется, пора наконец правительству принять решение перестать, так сказать, кормить нас завтраками и поднять цены до европейского уровня для всех стран, чтобы наполнить бюджет большими деньгами.","critical","критикует правительство России"
"14",93430,"LDPR","То есть мы видим, что то предложение, которое вносит правительство, оно фактически ущербно, оно наносит экономический ущерб бюджету России: вы заставляете нас тратить гигантские средства при минимальной эффективности.","critical","критикует правительство России"
"15",142446,"LDPR","Посоветуйте, что нам лучше сделать, чтобы правительство перестало так наплевательски относиться к рекомендациям Государственной Думы?","critical","критикует правительство России"
"16",133519,"KPRF","Уважаемые коллеги, пока мы радовались тому, как наши мастера футбола забивают голы противнику, правительство Медведева решило забить гол сразу всей стране и каждому гражданину.","critical","критикует правительство России"
"17",48809,"KPRF","Я напоминаю, что депутаты-коммунисты в этом зале уже предлагали отправить Правительство Российской Федерации в отставку именно за исполнение закона номер 122, корявого исполнения, по словам премьера Фрадкова.","critical","критикует правительство России"
"18",58564,"KPRF","Вопрос: почему так неэффективно работает правительство по исполнению бюджета, своевременно не финансируя острейшие социальные проблемы страны? Кто из федеральных чиновников, в том числе и министров, привлечён за это к ответственности?","critical","критикует правительство России"
"19",59516,"KPRF","Уважаемые депутаты, уважаемый председательствующий! Совершенно реальна опасность непродуманных и импульсивных действий нашего правительства в связи с биржевым кризисом.","critical","критикует правительство России"
"20",135273,"KPRF","С моей точки зрения, преступно, когда правительство не выполняет поручений президента, своих собственных обещаний и постановлений Госдумы.","critical","критикует правительство России"
"21",165630,"UR","Я сегодня хочу поблагодарить за совместную работу от имени всех законодателей Правительство Российской Федерации и Министерство транспорта, потому что мы с вами видим, что вот такая слаженная работа даёт результат.","positive","выражает поддержку правительству России"
"22",80093,"UR","Уважаемый Владимир Владимирович, скажу честно, в отличие от скептиков и теоретиков мы поддерживаем работу правительства и поддерживаем то, что Россия одной из первых предложила помощь Японии после аварии на Фукусиме.","positive","выражает поддержку правительству России"
"23",13395,"UR","Уважаемые коллеги, в данном случае, я считаю, надо поддержать Правительство, поскольку разговор идет о региональном налоге и о региональных доходах.","positive","выражает поддержку правительству России"
"24",55274,"UR","Я хочу поблагодарить Правительство Российской Федерации, Министерство здравоохранения и социального развития Российской Федерации, к которому мы обратились за помощью в проведении расчётов и которое изыскало необходимые ресурсы.","positive","выражает поддержку правительству России"
"25",132476,"UR","Фракция ЕДИНАЯ РОССИЯ поддерживает принятие рассматриваемого проекта закона и благодарит правительство за то, что оно вышло с такой инициативой.","positive","выражает поддержку правительству России"
